price,spec_rating,display_size,warranty,resolution_area,brand_Acer,brand_Apple,brand_Asus,brand_Dell,brand_HP,brand_Infinix,brand_Lenovo,brand_MSI,brand_Others,brand_Samsung,name,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,OS
34990,63.0,15.6,1,2073600,0,0,0,0,0,0,0,0,1,0,795,27,28,1,6,5,1,112,12
49990,69.0,16.0,1,2073600,0,0,0,0,0,0,1,0,0,0,568,135,24,1,2,5,1,79,12
51780,69.32352941,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,19,37,1,6,2,5,1,123,12
68990,71.0,15.6,1,2073600,0,0,1,0,0,0,0,0,0,0,538,30,24,1,2,5,1,37,12
85990,76.0,15.6,1,2073600,0,0,1,0,0,0,0,0,0,0,544,52,9,1,4,1,1,33,12
96990,67.0,15.6,1,2073600,0,0,0,0,0,0,1,0,0,0,348,70,2,1,4,5,1,53,12
148990,80.0,16.0,1,6400000,0,0,0,0,0,0,1,0,0,0,373,75,8,3,4,1,1,63,12
72990,75.0,17.3,1,2073600,0,0,1,0,0,0,0,0,0,0,547,42,6,1,4,5,1,33,12
84490,66.0,14.0,1,2304000,0,0,0,1,0,0,0,0,0,0,325,68,6,1,8,1,1,123,12
60990,67.0,15.6,1,2073600,0,0,1,0,0,0,0,0,0,0,691,48,2,1,2,5,1,121,12
33990,69.32352941,14.0,1,2073600,0,0,0,0,0,1,0,0,0,0,209,27,28,1,6,5,1,111,12
35990,64.0,14.0,1,2073600,0,0,1,0,0,0,0,0,0,0,666,15,17,1,2,5,1,108,12
60990,70.0,15.6,1,2073600,1,0,0,0,0,0,0,0,0,0,96,40,22,1,2,5,1,30,12
43990,69.32352941,14.0,1,5184000,0,0,0,0,0,0,0,0,1,0,509,42,6,1,4,5,1,123,12
62990,72.0,16.0,1,2304000,0,0,1,0,0,0,0,0,0,0,712,40,22,1,2,5,1,31,12
65990,76.0,15.6,1,2073600,0,0,0,0,0,0,0,1,0,0,175,30,24,1,2,1,0,33,12
23990,69.32352941,15.6,1,2073600,0,0,0,0,0,1,0,0,0,0,215,13,27,6,6,5,1,112,12
61990,72.0,15.6,1,2073600,0,0,1,0,0,0,0,0,0,0,537,26,19,1,2,5,1,33,12
36990,62.0,15.6,1,2073600,0,0,0,1,0,0,0,0,0,0,306,95,28,6,2,5,1,83,12
50970,65.0,16.0,1,2304000,0,0,1,0,0,0,0,0,0,0,707,105,19,1,2,5,1,86,12
184999,70.0,15.6,0,2304000,0,0,0,1,0,0,0,0,0,0,474,10,19,1,2,5,1,25,10
109990,76.0,16.1,1,2073600,0,0,0,0,1,0,0,0,0,0,417,139,24,1,4,1,1,53,12
42990,69.0,15.6,1,2073600,0,0,0,0,0,0,0,0,1,0,488,37,1,1,2,5,1,102,12
39150,69.32352941,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,40,34,18,6,2,5,1,112,12
92999,64.0,14.0,1,5184000,1,0,0,0,0,0,0,0,0,0,523,63,6,1,8,5,1,111,12
80990,76.0,16.1,1,2073600,0,0,0,0,1,0,0,0,0,0,659,139,24,1,4,5,1,50,12
55850,70.0,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,627,132,19,6,4,5,1,31,12
38990,64.0,15.6,1,2073600,1,0,0,0,0,0,0,0,0,0,104,23,28,6,2,5,1,120,12
53990,73.0,15.6,1,2073600,0,0,0,0,0,0,0,1,0,0,558,19,19,1,2,1,0,92,12
38990,69.32352941,14.0,1,2073600,0,0,0,0,0,1,0,0,0,0,212,37,1,1,6,5,1,111,12
139234,80.0,16.0,1,2073600,0,0,0,0,1,0,0,0,0,0,431,139,24,1,4,1,1,63,12
57990,73.0,15.6,1,2073600,0,0,0,0,0,0,0,1,0,0,554,19,19,1,2,1,0,33,12
89999,64.0,15.6,1,2073600,0,0,0,0,0,0,1,0,0,0,352,61,22,6,4,5,1,63,12
